Track Name,Artist(s),Album,Release Date,Duration (ms),Spotify URL
A Small Measure of Peace,Hans Zimmer,The Last Samurai: Original Motion Picture Score,2003-12-02,479680,https://open.spotify.com/track/0k1zElVBehCAzAa975af71
Nyah and Ethan,Hans Zimmer,Mission: Impossible 2 (Music from the Original Motion Picture Score),2000,307666,https://open.spotify.com/track/77Vald1ske4F9w1apY45Ts
Final Ascent,Hans Zimmer,No Time To Die (Original Motion Picture Soundtrack),2021-10-01,445400,https://open.spotify.com/track/7nERpoaVj6tizE9dKnbpgp
First Step,Hans Zimmer,Interstellar (Original Motion Picture Soundtrack) [Deluxe Version],2014-12-18,107767,https://open.spotify.com/track/1EtuAaqfgNkjR7bsWqvBtg
Day One Dark,Hans Zimmer,Interstellar (Original Motion Picture Soundtrack) [Expanded Edition],2014-11-18,417240,https://open.spotify.com/track/1fVtXWaLht2ACju6yLRrRf
Legacy,"Hans Zimmer, Lorne Balfe",The Journey: Champions (Original Soundtrack),2018-09-28,88620,https://open.spotify.com/track/1El0oyM0STKnVoBPd0MNe2
Gunpowder and Gasoline - Mel Wesson Remix,"Hans Zimmer, James Newton Howard",The Dark Knight Remixes EP,2008-07-14,272133,https://open.spotify.com/track/109edXrTdGJU99ffdoTSwX
Molossus,"James Newton Howard, Hans Zimmer",Batman Begins (Original Motion Picture Soundtrack),2005-06-14,289306,https://open.spotify.com/track/1N7LRc9YuyMjWKEkrmlogM
Eptesicus,"James Newton Howard, Hans Zimmer",Batman Begins (Original Motion Picture Soundtrack),2005-06-14,260066,https://open.spotify.com/track/6akwM3md7dzP2LkK8pKk6d
"One Day - From ""Pirates of the Caribbean: At World's End""/Score",Hans Zimmer,Pirates of the Caribbean: At World's End,2007-01-01,241560,https://open.spotify.com/track/3r2fhVslpEJOmmHujRwcfL
